Date,Open,High,Low,Close,Adj Close,Volume
2017-10-05,56.25,56.5,56.25,56.400001525878906,55.193904876708984,9600
2017-10-06,57.0,57.25,57.0,57.125,55.903404235839844,9600
2017-10-09,57.75,58.0,57.75,57.92499923706055,56.686283111572266,9600
2017-10-10,58.0,58.0,57.92499923706055,57.92499923706055,56.686283111572266,9600
2017-10-11,57.5,57.54999923706055,53.5,53.5,52.35591506958008,22400
2017-10-12,54.75,54.875,53.400001525878906,54.5,53.33453369140625,25600
2017-10-13,54.625,54.79999923706055,54.625,54.625,53.45686340332031,9600
2017-10-16,54.625,54.625,54.625,54.625,53.45686340332031,0
2017-10-17,54.625,54.625,54.625,54.625,53.45686340332031,0
2017-10-18,54.625,54.625,54.625,54.625,53.45686340332031,0
2017-10-19,54.75,54.79999923706055,54.625,54.625,53.45686340332031,9600
2017-10-23,54.625,54.625,54.625,54.625,53.45686340332031,0
2017-10-24,54.625,54.625,54.625,54.625,53.45686340332031,0
2017-10-25,54.625,54.625,54.625,54.625,53.45686340332031,0
2017-10-26,53.650001525878906,53.650001525878906,53.650001525878906,53.650001525878906,52.50271224975586,3200
2017-10-27,53.625,53.625,53.625,53.625,52.478248596191406,3200
2017-10-30,53.625,53.625,53.625,53.625,52.478248596191406,0
2017-10-31,53.625,53.625,53.625,53.625,52.478248596191406,0
2017-11-01,53.625,53.625,53.625,53.625,52.478248596191406,0
2017-11-02,53.5,53.5,53.5,53.5,52.35591506958008,3200
2017-11-03,53.5,53.5,53.5,53.5,52.35591506958008,3200
2017-11-06,53.5,53.5,53.5,53.5,52.35591506958008,0
2017-11-07,53.5,53.5,53.5,53.5,52.35591506958008,0
2017-11-08,53.5,53.5,53.5,53.5,52.35591506958008,0
2017-11-09,53.5,53.5,53.5,53.5,52.35591506958008,0
2017-11-10,53.5,53.5,53.5,53.5,52.35591506958008,0
2017-11-13,53.5,53.5,53.5,53.5,52.35591506958008,3200
2017-11-14,53.5,53.5,52.5,52.5,51.37730407714844,9600
2017-11-15,52.5,52.5,52.5,52.5,51.37730407714844,0
2017-11-16,51.125,51.125,51.125,51.125,50.031707763671875,3200
2017-11-17,51.125,51.125,51.125,51.125,50.031707763671875,0
2017-11-20,51.125,51.125,51.125,51.125,50.031707763671875,0
2017-11-21,51.0,51.25,51.0,51.25,50.154029846191406,6400
2017-11-22,51.25,51.25,51.25,51.25,50.154029846191406,0
2017-11-23,51.0,51.0,51.0,51.0,49.90938186645508,3200
2017-11-24,54.0,54.099998474121094,54.0,54.099998474121094,52.943084716796875,6400
2017-11-27,54.099998474121094,54.099998474121094,54.099998474121094,54.099998474121094,52.943084716796875,0
2017-11-28,50.75,50.75,50.5,50.525001525878906,49.444541931152344,12800
2017-11-29,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,3200
2017-11-30,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-01,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-04,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-05,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-06,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-07,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-08,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-11,50.04999923706055,50.04999923706055,50.04999923706055,50.04999923706055,48.979698181152344,0
2017-12-12,49.0,49.0,49.0,49.0,47.95215606689453,9600
2017-12-13,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-14,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-15,49.25,49.25,49.0,49.0,47.95215606689453,9600
2017-12-18,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-19,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-20,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-21,49.0,49.0,49.0,49.0,47.95215606689453,3200
2017-12-22,49.0,49.0,49.0,49.0,47.95215606689453,3200
2017-12-26,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-27,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-28,49.0,49.0,49.0,49.0,47.95215606689453,0
2017-12-29,50.0,50.5,50.0,50.5,49.420074462890625,12800
2018-01-01,51.0,51.0,51.0,51.0,49.90938186645508,3200
2018-01-02,51.0,51.0,51.0,51.0,49.90938186645508,0
2018-01-03,49.275001525878906,49.275001525878906,49.275001525878906,49.275001525878906,48.22126770019531,3200
2018-01-04,52.5,55.224998474121094,52.5,55.0,53.8238410949707,32000
2018-01-05,55.25,57.599998474121094,53.0,53.625,52.478248596191406,32000
2018-01-08,55.0,64.3499984741211,55.0,64.3499984741211,62.97389602661133,83200
2018-01-09,71.9000015258789,77.19999694824219,70.0,77.19999694824219,75.54908752441406,192000
2018-01-10,83.6500015258789,83.6500015258789,77.1500015258789,77.69999694824219,76.03839874267578,38400
2018-01-11,80.125,82.0,77.0250015258789,78.0,76.3320083618164,92800
2018-01-12,85.5,85.5,78.0,78.07499694824219,76.40538787841797,60800
2018-01-15,80.0,80.07499694824219,78.0250015258789,78.125,76.45431518554688,32000
2018-01-16,80.0,80.30000305175781,78.0,80.30000305175781,78.58280181884766,35200
2018-01-17,83.0,83.0250015258789,78.5,78.5,76.8213119506836,19200
2018-01-18,79.94999694824219,80.0,78.5,78.55000305175781,76.8702392578125,28800
2018-01-19,85.5,85.5,78.5,78.5,76.8213119506836,22400
2018-01-22,82.0,82.0,78.5,78.5,76.8213119506836,25600
2018-01-23,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-01-24,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-01-25,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-01-29,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-01-30,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-01-31,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-02-01,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-02-02,81.25,81.25,78.5,78.5,76.8213119506836,22400
2018-02-05,78.5,78.5,78.5,78.5,76.8213119506836,0
2018-02-06,68.75,68.75,68.75,68.75,67.27979278564453,3200
2018-02-07,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-08,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-09,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-12,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-14,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-15,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-16,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-19,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-20,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-21,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-22,68.75,68.75,68.75,68.75,67.27979278564453,0
2018-02-23,75.5,75.55000305175781,75.44999694824219,75.44999694824219,73.83653259277344,9600
2018-02-26,75.44999694824219,75.44999694824219,75.44999694824219,75.44999694824219,73.83653259277344,0
2018-02-27,75.44999694824219,75.44999694824219,75.44999694824219,75.44999694824219,73.83653259277344,0
2018-02-28,75.44999694824219,75.44999694824219,75.44999694824219,75.44999694824219,73.83653259277344,0
2018-03-01,75.44999694824219,75.44999694824219,75.44999694824219,75.44999694824219,73.83653259277344,0
2018-03-05,75.44999694824219,75.44999694824219,75.44999694824219,75.44999694824219,73.83653259277344,0
2018-03-06,75.44999694824219,75.44999694824219,75.44999694824219,75.44999694824219,73.83653259277344,0
2018-03-07,75.44999694824219,75.44999694824219,75.44999694824219,75.44999694824219,73.83653259277344,0
2018-03-08,72.0,72.0,71.69999694824219,71.7249984741211,70.1911849975586,54400
2018-03-09,71.7249984741211,71.7249984741211,71.7249984741211,71.7249984741211,70.1911849975586,0
2018-03-12,73.5,73.57499694824219,73.42500305175781,73.42500305175781,71.8548355102539,19200
2018-03-13,74.25,74.375,74.25,74.375,72.7845230102539,9600
2018-03-14,74.375,74.375,74.375,74.375,72.7845230102539,0
2018-03-15,74.375,74.375,74.375,74.375,72.7845230102539,0
2018-03-16,74.375,74.375,74.375,74.375,72.7845230102539,0
2018-03-19,70.67500305175781,70.67500305175781,70.67500305175781,70.67500305175781,69.16362762451172,3200
2018-03-20,70.67500305175781,70.67500305175781,70.67500305175781,70.67500305175781,69.16362762451172,0
2018-03-21,68.0,70.19999694824219,67.0,69.9000015258789,68.40521240234375,44800
2018-03-22,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-03-23,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-03-26,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-03-27,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-03-28,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-02,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-03,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-04,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-05,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-06,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-09,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-10,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-11,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-12,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-13,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-16,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-17,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-18,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-19,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-20,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-23,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-24,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-25,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-26,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-27,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-04-30,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-02,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-03,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
