Date,Open,High,Low,Close,Adj Close,Volume
2019-10-16,750.0,750.0,712.5,714.0,711.7677612304688,56446
2019-10-17,687.0,735.0,678.2999877929688,724.0499877929688,721.786376953125,424931
2019-10-18,710.3499755859375,748.9500122070312,690.0,719.4000244140625,717.1509399414062,82769
2019-10-22,692.0,749.0,683.4500122070312,716.5499877929688,714.309814453125,208878
2019-10-23,698.0,731.75,691.25,698.7999877929688,696.6152954101562,5507
2019-10-24,723.0,723.0,690.0,697.8499755859375,695.668212890625,4170
2019-10-25,670.0,700.0,670.0,688.7000122070312,686.5469360351562,5532
2019-10-27,699.0,710.0,682.2000122070312,692.4000244140625,690.2352905273438,3720
2019-10-29,685.0,719.0999755859375,675.0499877929688,707.6500244140625,705.4376831054688,9500
2019-10-30,677.0,690.0,672.2999877929688,679.25,677.12646484375,16606
2019-10-31,673.0999755859375,705.2999877929688,653.0,661.4500122070312,659.382080078125,39192
2019-11-01,668.9000244140625,668.9000244140625,630.0,635.1500244140625,633.164306640625,13350
2019-11-04,635.1500244140625,650.0,624.9500122070312,640.5499877929688,638.54736328125,20336
2019-11-05,632.0,635.0,575.6500244140625,608.9000244140625,606.9963989257812,33701
2019-11-06,625.0,640.0,584.4000244140625,619.5499877929688,617.613037109375,40890
2019-11-07,603.0999755859375,632.9000244140625,601.2999877929688,608.4000244140625,606.4979858398438,11792
2019-11-08,602.0,634.0,595.0,616.9000244140625,614.971435546875,21249
2019-11-11,611.0,667.5,601.0,635.0,633.0147705078125,49732
2019-11-13,625.0999755859375,631.2999877929688,598.0,610.75,608.840576171875,47466
2019-11-14,600.0499877929688,607.9000244140625,590.0,602.0999755859375,600.2175903320312,15435
2019-11-15,592.2999877929688,597.0,539.0499877929688,545.25,543.5453491210938,55469
2019-11-18,545.0,547.7999877929688,495.1499938964844,531.9000244140625,530.2371215820312,73289
2019-11-19,512.0,548.4500122070312,512.0,524.25,522.6110229492188,40428
2019-11-20,531.7000122070312,531.7000122070312,515.0,523.75,522.112548828125,4277
